generation,value,text,info,entry,assoc_num,personID
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
y19,0,,,,,
y20,0,,,,,
y21,0,,,,,
y1,0,,,,,
y2,0,,,,,
y3,0,,,,,
y4,0,,,,,
y5,0,,,,,
y6,0,,,,,
y7,0,,,,,
y8,0,,,,,
y9,0,,,,,
y10,0,,,,,
y11,100,朱明之,"朱明之: 科舉: 進士(籠統), 0",科舉: 進士(籠統),0.0,526.0
y12,-20,王益,"王益: 岳父, nan, 7 social connections.",,7.0,7082.0
y13,-40,朱巽,"朱巽: 祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,521.0
y14,0,,,,,
y15,0,,,,,
y16,0,,,,,
y17,0,,,,,
y18,0,,,,,
