group,variable,value
x1,y1,69
x1,y2,28
x1,y3,82
x1,y4,11
x1,y5,10
x1,y6,83
x1,y7,36
x1,y8,35
x1,y9,81
x1,y10,9
x1,y11,3
x1,y12,36
x1,y13,84
x1,y14,27
x1,y15,66
x1,y16,65
x1,y17,64
x1,y18,70
x1,y19,49
x1,y20,81
x1,y21,2
x2,y1,60
x2,y2,36
x2,y3,22
x2,y4,17
x2,y5,18
x2,y6,3
x2,y7,86
x2,y8,62
x2,y9,22
x2,y10,82
x2,y11,45
x2,y12,58
x2,y13,86
x2,y14,59
x2,y15,2
x2,y16,26
x2,y17,67
x2,y18,32
x2,y19,41
x2,y20,81
x2,y21,32
x3,y1,23
x3,y2,75
x3,y3,78
x3,y4,39
x3,y5,67
x3,y6,47
x3,y7,2
x3,y8,36
x3,y9,2
x3,y10,54
x3,y11,92
x3,y12,93
x3,y13,36
x3,y14,61
x3,y15,83
x3,y16,84
x3,y17,23
x3,y18,78
x3,y19,59
x3,y20,69
x3,y21,78
x4,y1,57
x4,y2,23
x4,y3,23
x4,y4,96
x4,y5,46
x4,y6,53
x4,y7,59
x4,y8,27
x4,y9,49
x4,y10,95
x4,y11,11
x4,y12,99
x4,y13,17
x4,y14,31
x4,y15,78
x4,y16,98
x4,y17,20
x4,y18,98
x4,y19,12
x4,y20,14
x4,y21,98
x5,y1,66
x5,y2,91
x5,y3,40
x5,y4,68
x5,y5,77
x5,y6,34
x5,y7,62
x5,y8,53
x5,y9,20
x5,y10,27
x5,y11,87
x5,y12,58
x5,y13,5
x5,y14,73
x5,y15,11
x5,y16,24
x5,y17,95
x5,y18,11
x5,y19,37
x5,y20,69
x5,y21,66
x6,y1,78
x6,y2,55
x6,y3,84
x6,y4,60
x6,y5,33
x6,y6,15
x6,y7,29
x6,y8,97
x6,y9,92
x6,y10,28
x6,y11,87
x6,y12,6
x6,y13,93
x6,y14,90
x6,y15,42
x6,y16,41
x6,y17,22
x6,y18,75
x6,y19,33
x6,y20,3
x6,y21,17
x7,y1,41
x7,y2,11
x7,y3,5
x7,y4,73
x7,y5,13
x7,y6,5
x7,y7,1
x7,y8,3
x7,y9,84
x7,y10,54
x7,y11,67
x7,y12,73
x7,y13,82
x7,y14,64
x7,y15,95
x7,y16,16
x7,y17,2
x7,y18,79
x7,y19,81
x7,y20,2
x7,y21,41
x8,y1,37
x8,y2,56
x8,y3,24
x8,y4,62
x8,y5,78
x8,y6,5
x8,y7,94
x8,y8,40
x8,y9,46
x8,y10,52
x8,y11,37
x8,y12,29
x8,y13,30
x8,y14,18
x8,y15,66
x8,y16,26
x8,y17,94
x8,y18,34
x8,y19,96
x8,y20,33
x8,y21,60
x9,y1,50
x9,y2,75
x9,y3,5
x9,y4,94
x9,y5,65
x9,y6,75
x9,y7,62
x9,y8,21
x9,y9,93
x9,y10,6
x9,y11,62
x9,y12,7
x9,y13,24
x9,y14,43
x9,y15,39
x9,y16,38
x9,y17,22
x9,y18,28
x9,y19,37
x9,y20,66
x9,y21,40
x10,y1,38
x10,y2,50
x10,y3,14
x10,y4,36
x10,y5,58
x10,y6,85
x10,y7,44
x10,y8,55
x10,y9,72
x10,y10,99
x10,y11,72
x10,y12,28
x10,y13,87
x10,y14,17
x10,y15,67
x10,y16,67
x10,y17,14
x10,y18,25
x10,y19,45
x10,y20,83
x10,y21,36
x11,y1,47
x11,y2,11
x11,y3,91
x11,y4,55
x11,y5,6
x11,y6,14
x11,y7,74
x11,y8,85
x11,y9,3
x11,y10,58
x11,y11,88
x11,y12,9
x11,y13,13
x11,y14,10
x11,y15,28
x11,y16,32
x11,y17,6
x11,y18,17
x11,y19,10
x11,y20,61
x11,y21,74
x12,y1,69
x12,y2,5
x12,y3,1
x12,y4,12
x12,y5,20
x12,y6,37
x12,y7,33
